Year,Artist,Popularity,Track ID,Genre
1950,Ella Fitzgerald,59,5DIVWgTeJ2fPIxaY9e7ZKn,vocal jazz
1950,Ella Fitzgerald,55,5RcvlmVx2xtFcp2Ta5pw7X,vocal jazz
1950,The Dominoes,47,28qYlkVkbAmpAwUrwoLjFr,doo-wop
1950,Lefty Frizzell,45,3jvNwwHkWjELV3QALVz47D,honky tonk
1950,Pérez Prado,46,0WzRnDd9AaSLg2Q7M6Dyhi,mambo
1950,Gene Ammons,43,1y0U0HAe5QfTRzOsz74bOt,jazz
1950,La Sonora Santanera,51,5f78L5buph5GtBFcCYI0cx,bolero
1950,La Sonora Santanera,47,6wD6ELX0mFyBzEMqhDp3F8,bolero
1950,La Sonora Santanera,34,7d0GT25coyRGTYKPdohfC9,bolero
1950,Betty Hutton,39,2eEknJsB9GvHbnSNfbZhJN,
1950,Ella Fitzgerald,42,6FWtmmLX3pJEhKdS0OwPTc,vocal jazz
1950,La Sonora Santanera,50,2mPNAaBFLHSYsTm5dBLVrE,bolero
1950,Liberace,37,6li7JnCw8iuTqAEK47hFhP,
1950,La Sonora Santanera,49,43iaHz5dLnKRovc3DLQApU,bolero
1950,The Dominoes,36,6u9lUzd55QtOqm4GakcqMf,doo-wop
1950,Lefty Frizzell,35,2wyifZXEC0Z4HNKlQnyroD,honky tonk
1950,George Shearing,38,2BMorWMRsJPc1hEstsFKRU,cool jazz
1950,Modest Mussorgsky,31,12pe2mL5SQGMI1gBGcEWKE,orchestra
1950,Betty Hutton,36,61d3zbeymdgxsnXw5hFvMy,
1950,La Sonora Santanera,30,2RxY7nzk3Enn39Ahf2vjbW,bolero
1950,Clarence,30,2bBwi0SQowI6sCQyptjJ4U,soul
1950,Harry McClintock,31,55ofJJsCcK7c9XeMNbv0ir,bluegrass
1950,La Sonora Santanera,29,4JbZZZC9YXdFuWxYebR0G9,bolero
1950,La Sonora Santanera,44,4J2EPwzxdv2ellgx5E4QnP,bolero
1950,Pérez Prado,42,42oWjx7xHiPQxzMsw2jHgI,mambo
1950,The Four Freshmen,32,5q2gl6mXx9143VGC6BXQAd,vocal jazz
1950,La Sonora Santanera,44,2rwkzLkV4OYY3eszKsPUMm,bolero
1950,Betty Hutton,34,78UodCLFFbjKsVBuGIkY7G,
1950,Johnny Dorelli,38,55AF5P76HGqMX7LWpdQYPy,
1950,Miguel Aceves Mejia,39,3oxxkPr4dAdUJ90pOlYdR3,mariachi
1950,Ella Fitzgerald,38,0HEU3berJ5OBojU8XmEk1c,vocal jazz
1950,Sonia Lopez,47,62tK9VmlCxAhuLDHpChWXi,bolero
1950,Zsa Zsa Padilla,45,0hULMf7oqrHYIFh3fh4nFa,opm
1950,Pérez Prado,32,3WxGAe73DhuWojmQZqvxXZ,mambo
1950,La Sonora Santanera,43,5AMuWQfkvqbVpthKWV3dtS,bolero
1950,Pérez Prado,39,2HDo4NTjDqc7EPeHkQcU5x,mambo
1950,Lefty Frizzell,30,5ukHmdUBB1anlKt7xmehep,honky tonk
1950,Francis Poulenc,35,1SzDyi767gsi2PNqmygxwa,neoclassical
1950,The Ames Brothers,33,3CdifSD2AmY1y2fthDaiOm,
1950,Ella Fitzgerald,37,65Dm4aRthohlvuuyKVydIu,vocal jazz
1950,José Alfredo Jimenez,27,3BuxSqZabqCgSAWUaQlO85,mariachi
1950,Lefty Frizzell,29,2JR4xv4473QgAK5wgRPb6u,honky tonk
1950,Kenny Drew Trio,26,2OKTUK6slan2JGBWXLaOoE,hard bop
1950,Sonia Lopez,45,6N2J5DrsKlfwrU851i5WPY,bolero
1950,La Sonora Santanera,41,7kcdvXmBHeLnkStZOJAaOZ,bolero
1950,Betty Hutton,26,4Un8avfhDBwfHP2XhNXGm6,
1950,Pérez Prado,37,35eB5bKlfpoUaD7jeMFh6k,mambo
1950,La Sonora Santanera,43,0XyCZ2BftYxZ1zVPajDQpW,bolero
1950,The Four Freshmen,29,1rvXymShkt4ClhiWEsn4ad,vocal jazz
1950,La Sonora Santanera,44,313SWfXQ7kFxyu92dZRHBk,bolero
1951,Thelonious Monk,57,1wl5b2lw3YagQtZiYZbQWP,jazz
1951,Hank Williams,51,0jo2E9nTTflJzAadadRaek,honky tonk
1951,Hank Williams,51,04bsExZXrwoRXYKKDWlTIU,honky tonk
1951,Joséphine Baker,53,76jd74pjVZT9MlEozWQM5u,french jazz
1951,The Weavers,44,5nhwuGvAsR1a3ITEv8SfG6,christmas
1951,Ahmad Jamal,44,4lyupu0V7V9CoKhH52sfS8,jazz
1951,Thelonious Monk,45,1PjvmeUrBN4mHw6LVTvkuz,jazz
1951,José Alfredo Jimenez,38,0yXyNDo6JkIre1wLSqBgtc,mariachi
1951,José Alfredo Jimenez,37,2cbw1rOBPvVl0eJRUwqU5h,mariachi
1951,Ahmad Jamal,44,4CZfPaDW5madfScpZl0nDU,jazz
1951,Louis Prima,38,2utVqyLQHo9KNHvn8afvHo,swing music
1951,Dean Martin,41,0VEu9WixScy7tAe5nvPQRv,christmas
1951,Alexander Scriabin,42,50yIjigJPcVQQxrHHeai4H,classical piano
1951,Louis Prima,35,0Fdr7FOF5QmtunuKPXel8Z,swing music
1951,Eddie Fisher,37,7EvkQtvinER1o7rIsO1vs7,adult standards
1951,Miles Davis,39,1zrYb4Y8KowyXmbzoHGh7L,jazz
1951,Hank Williams,34,5ZUyfCfk908gXkPfKGf3Y2,honky tonk
1951,Smiley Lewis,37,2fv55q4V6VrQ7tGgdzcucg,boogie-woogie
1951,Hank Williams,33,13ylB23PFb4anEUzXnF3bI,honky tonk
1951,Flatt & Scruggs,30,2GxivWUFL0TRT1nHce14MM,bluegrass
1951,Hank Williams,31,34CYKWLBoZABuxCt0ztNqT,honky tonk
